,Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,TurnoverInRs,No.ofTrades,DeliverableQty,%DlyQttoTradedQty,"ï»¿""Symbol"""
36,,EQ,22-Mar-2023,"2,839.10","2,825.00","2,853.15","2,814.85","2,836.05","2,839.85","2,837.31","7,31,807","2,07,63,60,314.80","55,063","4,19,432",57.31,ASIANPAINT
37,,EQ,23-Mar-2023,"2,839.85","2,817.10","2,823.00","2,767.75","2,800.00","2,797.80","2,790.62","10,16,581","2,83,68,87,130.70","72,334","3,78,639",37.25,ASIANPAINT
38,,EQ,24-Mar-2023,"2,797.80","2,797.80","2,815.65","2,772.85","2,800.00","2,798.50","2,797.05","7,84,111","2,19,32,01,181.30","62,848","4,37,365",55.78,ASIANPAINT
39,,EQ,27-Mar-2023,"2,798.50","2,798.50","2,820.00","2,786.50","2,802.10","2,803.75","2,802.40","7,91,560","2,21,82,67,432.50","54,933","5,06,998",64.05,ASIANPAINT
40,,EQ,28-Mar-2023,"2,803.75","2,791.00","2,810.60","2,765.00","2,786.00","2,784.45","2,784.45","5,58,581","1,55,53,42,471.30","58,194","2,51,651",45.05,ASIANPAINT
41,,EQ,29-Mar-2023,"2,784.45","2,784.45","2,793.75","2,755.00","2,775.00","2,770.50","2,771.08","10,87,648","3,01,39,62,064.15","77,999","6,39,190",58.77,ASIANPAINT
42,,EQ,31-Mar-2023,"2,770.50","2,756.05","2,775.00","2,747.50","2,764.00","2,761.65","2,760.84","19,67,803","5,43,27,93,544.90","1,15,340","14,26,542",72.49,ASIANPAINT
43,,EQ,03-Apr-2023,"2,761.65","2,746.95","2,781.65","2,708.65","2,778.50","2,777.00","2,754.49","10,35,295","2,85,17,08,612.55","74,491","4,52,458",43.70,ASIANPAINT
44,,EQ,05-Apr-2023,"2,777.00","2,760.00","2,811.55","2,752.25","2,808.10","2,808.50","2,785.70","6,68,643","1,86,26,39,464.75","58,870","3,49,927",52.33,ASIANPAINT
45,,EQ,06-Apr-2023,"2,808.50","2,807.45","2,825.00","2,786.80","2,810.90","2,809.85","2,810.34","6,27,554","1,76,36,42,312.90","58,842","3,53,825",56.38,ASIANPAINT
46,,EQ,10-Apr-2023,"2,809.85","2,810.00","2,810.00","2,755.10","2,776.35","2,776.35","2,769.17","12,15,461","3,36,58,13,180.00","87,638","6,23,757",51.32,ASIANPAINT
47,,EQ,11-Apr-2023,"2,776.35","2,790.00","2,790.00","2,750.05","2,755.90","2,753.80","2,758.11","12,46,379","3,43,76,52,395.85","84,669","6,32,024",50.71,ASIANPAINT
48,,EQ,12-Apr-2023,"2,753.80","2,755.55","2,806.20","2,751.00","2,787.00","2,786.75","2,778.17","22,35,399","6,21,03,23,795.95","72,778","14,33,428",64.12,ASIANPAINT
49,,EQ,13-Apr-2023,"2,786.75","2,786.70","2,813.30","2,782.00","2,812.00","2,809.75","2,803.80","6,02,597","1,68,95,63,757.70","48,470","3,57,182",59.27,ASIANPAINT
50,,EQ,17-Apr-2023,"2,809.75","2,825.00","2,845.60","2,806.00","2,843.00","2,843.10","2,830.40","7,54,555","2,13,56,95,747.20","51,872","4,18,806",55.50,ASIANPAINT
51,,EQ,18-Apr-2023,"2,843.10","2,848.00","2,858.45","2,830.10","2,855.00","2,854.60","2,848.64","7,17,724","2,04,45,35,327.30","38,621","3,92,153",54.64,ASIANPAINT
52,,EQ,19-Apr-2023,"2,854.60","2,836.35","2,852.70","2,800.65","2,811.00","2,809.70","2,820.26","7,99,624","2,25,51,50,796.20","48,741","4,70,857",58.88,ASIANPAINT
53,,EQ,20-Apr-2023,"2,809.70","2,820.00","2,851.00","2,813.15","2,850.00","2,843.85","2,836.04","7,61,101","2,15,85,14,875.15","45,647","4,18,361",54.97,ASIANPAINT
54,,EQ,21-Apr-2023,"2,843.85","2,847.10","2,887.00","2,847.10","2,877.85","2,882.10","2,872.50","8,94,930","2,57,06,89,706.35","49,493","4,07,924",45.58,ASIANPAINT
