Key,P/E Ratio
Garware Technical Fibres Limited,35.633564
Arvind Limited,24.311163
Just Dial Limited,20.880013
Greenlam Industries Limited,45.97613
VRL Logistics Limited,42.73487
Mtar Technologies Limited,60.36894
Neuland Laboratories Limited,30.041626
Power Mech Projects Limited,33.999607
Go Fashion (India) Limited,69.22201
Zen Technologies Limited,64.71712
Netweb Technologies India Limited,140.70576
SIS LIMITED,19.922512
Voltamp Transformers Limited,27.74073
Electrosteel Castings Limited,25.050001
Mrs. Bectors Food Specialities Limited,55.794456
Vaibhav Global Limited,63.81169
Texmaco Rail & Engineering Limited,102.27699
R Systems International Limited,44.351048
Redtape Limited,Infinity
FDC Limited,27.402641
EPL Limited,25.018986
Shriram Pistons & Rings Limited,19.698404
Transport Corporation of India Limited,22.4844
Thomas Cook (India) Limited,65.22807
NAVA LIMITED,7.8721004
Hindustan Foods Limited,71.75462
MOIL Limited,26.493557
Nesco Limited,18.999557
PG Electroplast Limited,44.7817
Symphony Limited,56.12007
Indo Count Industries Limited,15.645724
Share India Securities Limited,16.377583
Jindal Worldwide Limited,81.61243
CMS Info Systems Limited,18.122908
Genus Power Infrastructures Limited,78.22536
Infibeam Avenues Limited,71.320755
Utkarsh Small Finance Bank Limited,13.313952
Technocraft Industries (India) Limited,19.15362
Fusion Micro Finance Limited,12.394749
BOROSIL RENEWABLES LIMITED,252.96747
Astra Microwave Products Limited,82.57221
Avanti Feeds Limited,22.010538
JSW Holdings Limited,50.987217
Gujarat Alkalies and Chemicals Limited,71.00979
Sterlite Technologies Limited,52.33456
Nazara Technologies Limited,135.64844
Gabriel India Limited,36.66032
Suprajit Engineering Limited,37.004715
PTC India Limited,13.70729
Dilip Buildcon Limited,45.30647
The South Indian Bank Limited,7.0168858
GHCL Limited,5.184776
Paradeep Phosphates Limited,38.95
H.G. Infra Engineering Limited,11.150554
ICRA Limited,36.926994
Ramky Infrastructure Limited,5.5486574
Sansera Engineering Limited,34.972725
Arvind Fashions Limited,275.53192
Senco Gold Limited,36.401585
Aurionpro Solutions Limited,45.72111
Teamlease Services Limited,46.113533
