,Date,OpenPrice,ClosePrice,HighPrice,LowPrice
172,11-Oct-2023,1935.95,1980.10,1982.40,1923.60
173,12-Oct-2023,1990.90,2001.80,2022.00,1966.85
174,13-Oct-2023,1995.95,1982.60,2000.70,1974.35
175,16-Oct-2023,1982.60,1973.70,2000.00,1958.00
176,17-Oct-2023,2000.00,1974.45,2020.15,1958.05
177,18-Oct-2023,1970.10,1955.70,1990.95,1951.00
178,19-Oct-2023,1952.05,1975.70,1978.85,1927.80
179,20-Oct-2023,1972.40,1946.35,1977.15,1939.35
180,23-Oct-2023,1939.20,1902.75,1939.20,1885.00
181,25-Oct-2023,1901.10,1877.45,1920.05,1868.95
182,26-Oct-2023,1840.00,1840.00,1840.00,1840.00
183,26-Oct-2023,1867.10,1849.55,1874.00,1839.55
184,27-Oct-2023,1857.05,1856.00,1870.00,1850.10
185,30-Oct-2023,1856.00,1878.80,1882.30,1828.05
186,31-Oct-2023,1880.10,1886.70,1891.95,1865.00
187,01-Nov-2023,1894.00,1868.55,1897.00,1861.40
188,02-Nov-2023,1878.65,1897.75,1900.95,1878.65
189,03-Nov-2023,1903.50,1896.20,1915.00,1890.35
190,06-Nov-2023,1902.10,1918.70,1936.55,1896.20
191,07-Nov-2023,1920.00,1921.55,1929.95,1912.05
192,08-Nov-2023,1929.00,1933.85,1943.00,1920.00
193,09-Nov-2023,1937.40,1935.00,1944.55,1930.00
194,10-Nov-2023,1930.05,1943.00,1947.80,1921.20
195,12-Nov-2023,1949.90,1946.10,1949.90,1941.75
196,13-Nov-2023,1945.90,1928.85,1945.90,1922.00
197,15-Nov-2023,1947.00,1943.95,1964.30,1935.00
198,16-Nov-2023,1949.70,1942.60,1954.85,1913.85
199,17-Nov-2023,1941.05,1970.55,1983.60,1940.35
200,20-Nov-2023,1971.60,1972.30,1978.15,1953.10
201,21-Nov-2023,1972.65,1977.45,1988.00,1969.00
202,22-Nov-2023,1979.80,1974.10,1984.90,1958.75
203,23-Nov-2023,1984.10,1956.90,1984.10,1951.40
204,24-Nov-2023,1963.90,1949.40,1969.45,1945.45
205,28-Nov-2023,1963.00,1975.90,1987.00,1953.25
206,29-Nov-2023,1988.10,2003.25,2009.00,1981.05
207,30-Nov-2023,2006.00,2005.45,2031.00,1990.25
208,01-Dec-2023,2019.95,2016.05,2039.00,2008.00
209,04-Dec-2023,2075.00,2052.95,2076.00,2028.45
210,05-Dec-2023,2057.90,2072.35,2078.00,2038.50
211,06-Dec-2023,2079.85,2057.75,2085.00,2045.55
212,07-Dec-2023,2057.75,2081.75,2089.00,2045.60
213,08-Dec-2023,2080.00,2070.05,2099.30,2042.65
214,11-Dec-2023,2072.00,2084.05,2088.25,2068.10
215,12-Dec-2023,2090.00,2080.75,2129.00,2075.60
